prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2010,Fiction,300,winner,Kingsolver,Barbara,"Kingsolver, Barbara",woman,unknown,False,Non-UK White,White American,Masters,University of Arizona,Maths and Sciences,Ecology and Evolutionary Biology,79097759,426,The Lacuna
8,Booker Prize,Man Booker Prize,Booker Foundation,2010,Fiction,114,shortlisted,Levy,Andrea,"Levy, Andrea",woman,unknown,True,Caribbean,Jamaican British,unknown,Dartington College of Arts,Arts,Theatre,74098174,179,The Long Song
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2010,Fiction,344,shortlisted,Locke,Attica,"Locke, Attica",woman,unknown,False,Non-White American,Black American,Bachelors,Northwestern University,Arts,Radio/TV/Film,24076666,428,Black Water Rising
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2010,Fiction,77,shortlisted,Mantel,Hilary,"Mantel, Hilary",woman,unknown,True,White British,English,Bachelors,University of Sheffield,Law,Law,44415775,195,Wolf Hall
8,Booker Prize,Man Booker Prize,Booker Foundation,2010,Fiction,210,shortlisted,McCarthy,Tom,"McCarthy, Tom",man,unknown,True,White British,English,Bachelors,University of Oxford,Language and Literature,English Literature,84508554,203,C
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2010,Sff,500,winner,McDonald,Ian,"McDonald, Ian",man,unknown,True,Irish,Scottish Irish,unknown,unknown,unknown,unknown,100337159,640,The Dervish House
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2010,Fiction,345,shortlisted,Moore,Lorrie,"Moore, Lorrie",woman,unknown,False,Non-UK White,White American,Masters,unknown,unknown,unknown,85852459,429,A Gate at the Stairs
4,Costa Novel Award,Costa Novel Award,Costa,2010,Fiction,89,winner,O'Farrell,Maggie,"O'Farrell, Maggie",woman,unknown,True,White British,Northern Irish,Bachelors,Harvard University,Maths and Sciences,Public Health,85329632,245,The Hand that First Held Mine
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2010,Poetry,549,winner,O'Reilly,Kaite,"O'Reilly, Kaite",woman,unknown,True,Irish,British,unknown,unknown,unknown,unknown,166254744,704,The Persians
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2010,Crime,455,shortlisted,Pelecanos,George,"Pelecanos, George",man,unknown,False,Non-UK White,Greek American,unknown,unknown,unknown,unknown,85313037,581,The Way Home
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2010,Poetry,92,shortlisted,Reid,Christopher,"Reid, Christopher",man,unknown,True,White British,British,Bachelors,University of Oxford,unknown,unknown,33082514,705,Song of Lunch
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2010,Fiction,39,shortlisted,Roffey,Monique,"Roffey, Monique",woman,unknown,True,Black British,British Trinidadian,Doctorate,Lancaster University,Writing,Creative Writing,48585948,430,The White Woman on the Green Bicycle
2,Costa Book of the Year,Costa Book of the Year,Costa,2010,No/Any/Multi Genre,87,winner,Shapcott,Jo,"Shapcott, Jo",woman,unknown,True,White British,English,unknown,Harvard University,unknown,unknown,85312469,293,Of Mutability
6,Costa Poetry Award,Costa Poetry Award,Costa,2010,Poetry,87,winner,Shapcott,Jo,"Shapcott, Jo",woman,unknown,True,White British,English,unknown,Harvard University,unknown,unknown,85312469,293,Of Mutability
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2010,Non-Fiction,659,shortlisted,Sorkin,Andrew Ross,"Sorkin, Andrew Ross",man,unknown,False,Jewish,Jewish American,unknown,Cornell University,unknown,unknown,100670351,824,Too Big to Fail
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2010,Poetry,550,shortlisted,Swann,David,"Swann, David",man,unknown,True,White British,English,Masters,Lancaster University,Writing,Creative Writing,61370890,706,The Privilege of Rain
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2010,Poetry,551,shortlisted,Towers,Katharine,"Towers, Katharine",woman,unknown,True,White British,English,unknown,unknown,unknown,unknown,138798624,707,The Floating Man
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2010,Non-Fiction,660,shortlisted,Uglow,Jenny,"Uglow, Jenny",woman,unknown,True,White British,English,Bachelors,University of Oxford,Language and Literature,English,85833405,825,A Gambling Man
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2010,Poetry,532,winner,Walcott,Derek,"Walcott, Derek",man,unknown,False,Caribbean,St Lucian,Bachelors,"University of the West Indies, Mona",unknown,unknown,39391959,680,White Egrets
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2010,Children'S,91,winner,Wallace,Jason,"Wallace, Jason",man,unknown,True,White British,English,unknown,unknown,unknown,unknown,138614369,347,Out of Shadows
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2010,Non-Fiction,661,shortlisted,Wrangham,Richard,"Wrangham, Richard",man,unknown,True,White British,English,Doctorate,University of Cambridge,Maths and Sciences,Animal Behaviour,109275737,826,Catching Fire
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,552,shortlisted,Armitage,Simon,"Armitage, Simon",man,unknown,True,White British,British,Masters,University of Manchester,Medicine and Social Work,Social Work,6157973,708,Black Roses: The Killing of Sophie Lancaster
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,226,winner,Barnes,Julian,"Barnes, Julian",man,unknown,True,White British,English,Bachelors,University of Oxford,Language and Literature,Modern Languages,51710796,26,The Sense of an Ending
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,227,shortlisted,Birch,Carol,"Birch, Carol",woman,unknown,True,White British,English,Bachelors,Keele University,Language and Literature,English and American Studies,51974257,33,Jamrach's Menagerie
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2011,Poetry,133,winner,Burnside,John,"Burnside, John",man,unknown,True,White British,Scottish,unknown,Cambridgeshire College of Arts and Technology,Language and Literature,English and European Languages,71543705,679,Black Cat Bone
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,553,shortlisted,Copus,Julia,"Copus, Julia",woman,unknown,True,White British,British,Bachelors,Durham University,Language and Literature,Latin,5880300,709,Ghost Lines
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2011,Poetry,554,shortlisted,Crawford,Robert,"Crawford, Robert",man,unknown,True,White British,Scottish,unknown,University of Oxford,Language and Literature,Scottish Literature,113245438,710,Simonides
8,Booker Prize,Man Booker Prize,Booker Foundation,2011,Fiction,228,shortlisted,deWitt,Patrick,"deWitt, Patrick",man,unknown,False,Non-UK White,Canadian American,unknown,unknown,unknown,unknown,120285465,73,The Sisters Brothers
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2011,Non-Fiction,650,winner,Dikötter,Frank,"Dikötter, Frank",man,unknown,False,Non-UK White,Dutch,Doctorate,University of London,History and Cultural Studies,Chinese History,44405182,815,Mao's Great Famine
